Обработка видео: 1.mp4, 2025-10-21 17:33:08.911871
Всего кадров: 656, Кадров с QR-кодом: 642
Кадр 93: Данные: https://github.com/Cube-module, Координаты: [(434, 324), (951, 321), (954, 807), (465, 815)], Уверенность: 0.00
Кадр 94: Данные: https://github.com/Cube-module, Координаты: [(430, 322), (948, 319), (956, 806), (463, 814)], Уверенность: 0.00
Кадр 95: Данные: https://github.com/Cube-module, Координаты: [(428, 321), (946, 317), (954, 806), (459, 815)], Уверенность: 0.00
Кадр 96: Данные: https://github.com/Cube-module, Координаты: [(426, 320), (946, 316), (957, 806), (457, 815)], Уверенность: 0.00
Кадр 97: Данные: https://github.com/Cube-module, Координаты: [(423, 318), (946, 315), (954, 808), (457, 816)], Уверенность: 0.00
Кадр 98: Данные: https://github.com/Cube-module, Координаты: [(421, 317), (947, 315), (951, 808), (454, 818)], Уверенность: 0.00
Кадр 99: Данные: https://github.com/Cube-module, Координаты: [(422, 319), (947, 315), (956, 810), (454, 819)], Уверенность: 0.00
Кадр 100: Данные: https://github.com/Cube-module, Координаты: [(420, 318), (949, 316), (957, 817), (453, 821)], Уверенность: 0.00
Кадр 101: Данные: https://github.com/Cube-module, Координаты: [(421, 322), (951, 319), (959, 816), (454, 825)], Уверенность: 0.00
Кадр 102: Данные: https://github.com/Cube-module, Координаты: [(421, 322), (953, 319), (961, 819), (454, 828)], Уверенность: 0.00
Кадр 103: Данные: https://github.com/Cube-module, Координаты: [(424, 326), (955, 322), (963, 823), (457, 831)], Уверенность: 0.00
Кадр 104: Данные: https://github.com/Cube-module, Координаты: [(425, 329), (958, 326), (966, 826), (458, 835)], Уверенность: 0.00
Кадр 105: Данные: https://github.com/Cube-module, Координаты: [(428, 335), (961, 331), (965, 832), (461, 839)], Уверенность: 0.00
Кадр 106: Данные: https://github.com/Cube-module, Координаты: [(433, 341), (964, 336), (972, 836), (465, 845)], Уверенность: 0.00
Кадр 107: Данные: https://github.com/Cube-module, Координаты: [(437, 348), (967, 344), (975, 842), (470, 850)], Уверенность: 0.00
Кадр 108: Данные: https://github.com/Cube-module, Координаты: [(441, 353), (971, 350), (979, 848), (473, 856)], Уверенность: 0.00
Кадр 109: Данные: https://github.com/Cube-module, Координаты: [(446, 362), (975, 360), (979, 854), (478, 862)], Уверенность: 0.00
Кадр 110: Данные: None, Координаты: (465, 736, 156, 156), Уверенность: 0.36
Кадр 111: Данные: https://github.com/Cube-module, Координаты: [(459, 380), (984, 376), (992, 867), (492, 876)], Уверенность: 0.00
Кадр 112: Данные: https://github.com/Cube-module, Координаты: [(467, 389), (989, 385), (997, 874), (499, 884)], Уверенность: 0.00
Кадр 113: Данные: https://github.com/Cube-module, Координаты: [(474, 398), (995, 394), (1002, 880), (507, 889)], Уверенность: 0.00
Кадр 114: Данные: https://github.com/Cube-module, Координаты: [(482, 407), (1000, 403), (1008, 888), (515, 896)], Уверенность: 0.00
Кадр 115: Данные: https://github.com/Cube-module, Координаты: [(490, 417), (1005, 413), (1012, 895), (522, 903)], Уверенность: 0.00
Кадр 116: Данные: https://github.com/Cube-module, Координаты: [(496, 424), (1012, 421), (1015, 902), (528, 910)], Уверенность: 0.00
Кадр 117: Данные: https://github.com/Cube-module, Координаты: [(504, 436), (1018, 432), (1021, 910), (535, 918)], Уверенность: 0.00
Кадр 118: Данные: https://github.com/Cube-module, Координаты: [(510, 445), (1022, 443), (1022, 918), (541, 927)], Уверенность: 0.00
Кадр 119: Данные: https://github.com/Cube-module, Координаты: [(516, 456), (1027, 453), (1030, 928), (547, 937)], Уверенность: 0.00
Кадр 120: Данные: None, Координаты: (895, 446, 156, 156), Уверенность: 0.39
Кадр 121: Данные: https://github.com/Cube-module, Координаты: [(528, 476), (1036, 473), (1039, 946), (557, 954)], Уверенность: 0.00
Кадр 122: Данные: https://github.com/Cube-module, Координаты: [(536, 489), (1041, 484), (1041, 953), (562, 961)], Уверенность: 0.00
Кадр 123: Данные: https://github.com/Cube-module, Координаты: [(540, 498), (1044, 495), (1044, 968), (567, 968)], Уверенность: 0.00
Кадр 124: Данные: https://github.com/Cube-module, Координаты: [(547, 508), (1048, 502), (1052, 971), (571, 978)], Уверенность: 0.00
Кадр 125: Данные: https://github.com/Cube-module, Координаты: [(550, 516), (1052, 513), (1052, 978), (575, 986)], Уверенность: 0.00
Кадр 126: Данные: https://github.com/Cube-module, Координаты: [(555, 528), (1055, 522), (1055, 990), (579, 994)], Уверенность: 0.00
Кадр 127: Данные: https://github.com/Cube-module, Координаты: [(560, 536), (1058, 531), (1056, 994), (582, 1003)], Уверенность: 0.00
Кадр 128: Данные: https://github.com/Cube-module, Координаты: [(563, 544), (1060, 537), (1060, 1004), (584, 1009)], Уверенность: 0.00
Кадр 129: Данные: https://github.com/Cube-module, Координаты: [(567, 552), (1063, 545), (1062, 1010), (589, 1015)], Уверенность: 0.00
Кадр 130: Данные: https://github.com/Cube-module, Координаты: [(571, 559), (1065, 552), (1063, 1012), (593, 1021)], Уверенность: 0.00
Кадр 131: Данные: https://github.com/Cube-module, Координаты: [(576, 565), (1066, 558), (1070, 1017), (596, 1026)], Уверенность: 0.00
Кадр 132: Данные: https://github.com/Cube-module, Координаты: [(577, 570), (1069, 566), (1069, 1025), (599, 1030)], Уверенность: 0.00
Кадр 133: Данные: https://github.com/Cube-module, Координаты: [(583, 576), (1071, 570), (1069, 1025), (603, 1033)], Уверенность: 0.00
Кадр 134: Данные: https://github.com/Cube-module, Координаты: [(587, 581), (1073, 574), (1073, 1027), (606, 1036)], Уверенность: 0.00
Кадр 135: Данные: https://github.com/Cube-module, Координаты: [(591, 585), (1075, 578), (1073, 1032), (611, 1037)], Уверенность: 0.00
Кадр 136: Данные: https://github.com/Cube-module, Координаты: [(594, 589), (1077, 583), (1077, 1031), (614, 1039)], Уверенность: 0.00
Кадр 137: Данные: https://github.com/Cube-module, Координаты: [(600, 593), (1079, 586), (1079, 1036), (618, 1041)], Уверенность: 0.00
Кадр 138: Данные: https://github.com/Cube-module, Координаты: [(604, 596), (1081, 589), (1081, 1034), (624, 1042)], Уверенность: 0.00
Кадр 139: Данные: https://github.com/Cube-module, Координаты: [(608, 598), (1083, 593), (1083, 1037), (628, 1042)], Уверенность: 0.00
Кадр 140: Данные: https://github.com/Cube-module, Координаты: [(615, 600), (1086, 593), (1084, 1032), (633, 1041)], Уверенность: 0.00
Кадр 141: Данные: https://github.com/Cube-module, Координаты: [(620, 601), (1088, 594), (1086, 1030), (638, 1039)], Уверенность: 0.00
Кадр 142: Данные: https://github.com/Cube-module, Координаты: [(625, 601), (1090, 594), (1090, 1031), (644, 1035)], Уверенность: 0.00
Кадр 143: Данные: https://github.com/Cube-module, Координаты: [(630, 601), (1092, 594), (1092, 1025), (647, 1033)], Уверенность: 0.00
Кадр 144: Данные: https://github.com/Cube-module, Координаты: [(636, 600), (1095, 593), (1092, 1024), (651, 1030)], Уверенность: 0.00
Кадр 145: Данные: https://github.com/Cube-module, Координаты: [(639, 598), (1097, 592), (1095, 1018), (658, 1026)], Уверенность: 0.00
Кадр 146: Данные: https://github.com/Cube-module, Координаты: [(645, 597), (1099, 592), (1099, 1021), (663, 1021)], Уверенность: 0.00
Кадр 147: Данные: https://github.com/Cube-module, Координаты: [(652, 596), (1102, 589), (1100, 1010), (668, 1019)], Уверенность: 0.00
Кадр 148: Данные: https://github.com/Cube-module, Координаты: [(657, 594), (1105, 587), (1103, 1006), (674, 1013)], Уверенность: 0.00
Кадр 149: Данные: https://github.com/Cube-module, Координаты: [(662, 592), (1107, 585), (1107, 1001), (678, 1010)], Уверенность: 0.00
Кадр 150: Данные: https://github.com/Cube-module, Координаты: [(668, 590), (1109, 583), (1109, 998), (683, 1006)], Уверенность: 0.00
Кадр 151: Данные: https://github.com/Cube-module, Координаты: [(671, 587), (1112, 582), (1110, 996), (687, 1003)], Уверенность: 0.00
Кадр 152: Данные: https://github.com/Cube-module, Координаты: [(677, 589), (1114, 582), (1114, 996), (690, 1000)], Уверенность: 0.00
Кадр 153: Данные: https://github.com/Cube-module, Координаты: [(681, 588), (1116, 581), (1114, 990), (695, 998)], Уверенность: 0.00
Кадр 154: Данные: https://github.com/Cube-module, Координаты: [(685, 586), (1118, 580), (1115, 986), (699, 994)], Уверенность: 0.00
Кадр 155: Данные: https://github.com/Cube-module, Координаты: [(688, 583), (1119, 578), (1117, 982), (702, 990)], Уверенность: 0.00
Кадр 156: Данные: https://github.com/Cube-module, Координаты: [(694, 581), (1121, 575), (1118, 977), (705, 986)], Уверенность: 0.00
Кадр 157: Данные: https://github.com/Cube-module, Координаты: [(694, 578), (1121, 573), (1119, 973), (708, 981)], Уверенность: 0.00
Кадр 158: Данные: https://github.com/Cube-module, Координаты: [(698, 577), (1122, 569), (1120, 970), (711, 977)], Уверенность: 0.00
Кадр 159: Данные: https://github.com/Cube-module, Координаты: [(701, 575), (1122, 568), (1120, 968), (713, 973)], Уверенность: 0.00
Кадр 160: Данные: https://github.com/Cube-module, Координаты: [(702, 570), (1123, 566), (1120, 961), (715, 970)], Уверенность: 0.00
Кадр 161: Данные: https://github.com/Cube-module, Координаты: [(707, 568), (1124, 562), (1120, 956), (717, 964)], Уверенность: 0.00
Кадр 162: Данные: https://github.com/Cube-module, Координаты: [(709, 564), (1124, 558), (1121, 951), (719, 959)], Уверенность: 0.00
Кадр 163: Данные: https://github.com/Cube-module, Координаты: [(709, 560), (1124, 557), (1122, 946), (721, 953)], Уверенность: 0.00
Кадр 164: Данные: https://github.com/Cube-module, Координаты: [(713, 557), (1124, 551), (1124, 944), (724, 948)], Уверенность: 0.00
Кадр 165: Данные: https://github.com/Cube-module, Координаты: [(715, 554), (1125, 549), (1122, 938), (726, 943)], Уверенность: 0.00
Кадр 166: Данные: https://github.com/Cube-module, Координаты: [(717, 550), (1125, 544), (1125, 934), (728, 938)], Уверенность: 0.00
Кадр 167: Данные: https://github.com/Cube-module, Координаты: [(718, 545), (1126, 540), (1124, 926), (730, 933)], Уверенность: 0.00
Кадр 168: Данные: https://github.com/Cube-module, Координаты: [(720, 540), (1127, 536), (1124, 922), (731, 927)], Уверенность: 0.00
Кадр 169: Данные: https://github.com/Cube-module, Координаты: [(724, 537), (1128, 531), (1124, 917), (734, 922)], Уверенность: 0.00
Кадр 170: Данные: https://github.com/Cube-module, Координаты: [(724, 532), (1128, 527), (1126, 912), (736, 917)], Уверенность: 0.00
Кадр 171: Данные: https://github.com/Cube-module, Координаты: [(729, 531), (1129, 528), (1126, 906), (740, 911)], Уверенность: 0.00
Кадр 172: Данные: https://github.com/Cube-module, Координаты: [(729, 528), (1129, 523), (1127, 903), (741, 909)], Уверенность: 0.00
Кадр 173: Данные: https://github.com/Cube-module, Координаты: [(730, 524), (1131, 522), (1129, 905), (741, 907)], Уверенность: 0.00
Кадр 174: Данные: https://github.com/Cube-module, Координаты: [(734, 522), (1132, 518), (1130, 898), (743, 903)], Уверенность: 0.00
Кадр 175: Данные: https://github.com/Cube-module, Координаты: [(735, 519), (1133, 514), (1131, 895), (745, 901)], Уверенность: 0.00
Кадр 176: Данные: None, Координаты: (1372, 894, 99, 99), Уверенность: 0.36
Кадр 177: Данные: None, Координаты: (1360, 891, 99, 99), Уверенность: 0.34
Кадр 178: Данные: https://github.com/Cube-module, Координаты: [(743, 514), (1135, 509), (1133, 887), (751, 893)], Уверенность: 0.00
Кадр 179: Данные: https://github.com/Cube-module, Координаты: [(743, 511), (1136, 506), (1135, 885), (753, 890)], Уверенность: 0.00
Кадр 180: Данные: https://github.com/Cube-module, Координаты: [(747, 508), (1137, 503), (1136, 882), (754, 887)], Уверенность: 0.00
Кадр 181: Данные: https://github.com/Cube-module, Координаты: [(749, 507), (1138, 502), (1136, 878), (756, 883)], Уверенность: 0.00
Кадр 182: Данные: https://github.com/Cube-module, Координаты: [(748, 502), (1139, 498), (1137, 874), (758, 880)], Уверенность: 0.00
Кадр 183: Данные: https://github.com/Cube-module, Координаты: [(751, 497), (1140, 493), (1140, 869), (759, 875)], Уверенность: 0.00
Кадр 184: Данные: https://github.com/Cube-module, Координаты: [(752, 491), (1141, 487), (1141, 862), (761, 868)], Уверенность: 0.00
Кадр 185: Данные: https://github.com/Cube-module, Координаты: [(754, 485), (1142, 481), (1142, 856), (762, 862)], Уверенность: 0.00
Кадр 186: Данные: https://github.com/Cube-module, Координаты: [(755, 479), (1144, 475), (1142, 850), (764, 855)], Уверенность: 0.00
Кадр 187: Данные: https://github.com/Cube-module, Координаты: [(757, 472), (1145, 467), (1143, 843), (765, 848)], Уверенность: 0.00
Кадр 188: Данные: https://github.com/Cube-module, Координаты: [(758, 464), (1146, 460), (1146, 837), (767, 841)], Уверенность: 0.00
Кадр 189: Данные: https://github.com/Cube-module, Координаты: [(759, 457), (1148, 453), (1146, 829), (767, 833)], Уверенность: 0.00
Кадр 190: Данные: https://github.com/Cube-module, Координаты: [(760, 449), (1149, 445), (1147, 822), (768, 826)], Уверенность: 0.00
Кадр 191: Данные: https://github.com/Cube-module, Координаты: [(762, 442), (1150, 438), (1148, 815), (769, 820)], Уверенность: 0.00
Кадр 192: Данные: https://github.com/Cube-module, Координаты: [(761, 433), (1151, 430), (1149, 808), (770, 813)], Уверенность: 0.00
Кадр 193: Данные: None, Координаты: (287, 439, 99, 99), Уверенность: 0.32
Кадр 194: Данные: https://github.com/Cube-module, Координаты: [(762, 418), (1153, 414), (1151, 792), (770, 797)], Уверенность: 0.00
Кадр 195: Данные: https://github.com/Cube-module, Координаты: [(763, 410), (1154, 404), (1152, 785), (770, 790)], Уверенность: 0.00
Кадр 196: Данные: https://github.com/Cube-module, Координаты: [(764, 400), (1156, 395), (1153, 778), (771, 782)], Уверенность: 0.00
Кадр 197: Данные: https://github.com/Cube-module, Координаты: [(763, 393), (1154, 389), (1153, 769), (772, 774)], Уверенность: 0.00
Кадр 198: Данные: https://github.com/Cube-module, Координаты: [(763, 385), (1156, 383), (1156, 763), (772, 768)], Уверенность: 0.00
Кадр 199: Данные: https://github.com/Cube-module, Координаты: [(765, 379), (1156, 374), (1155, 756), (772, 762)], Уверенность: 0.00
Кадр 200: Данные: https://github.com/Cube-module, Координаты: [(762, 369), (1159, 366), (1156, 753), (771, 757)], Уверенность: 0.00
Кадр 201: Данные: https://github.com/Cube-module, Координаты: [(762, 366), (1158, 362), (1158, 746), (771, 751)], Уверенность: 0.00
Кадр 202: Данные: https://github.com/Cube-module, Координаты: [(761, 358), (1160, 355), (1158, 743), (770, 748)], Уверенность: 0.00
Кадр 203: Данные: https://github.com/Cube-module, Координаты: [(762, 354), (1158, 350), (1158, 737), (770, 743)], Уверенность: 0.00
Кадр 204: Данные: https://github.com/Cube-module, Координаты: [(760, 348), (1160, 344), (1158, 734), (770, 738)], Уверенность: 0.00
Кадр 205: Данные: https://github.com/Cube-module, Координаты: [(759, 343), (1160, 339), (1157, 731), (767, 734)], Уверенность: 0.00
Кадр 206: Данные: https://github.com/Cube-module, Координаты: [(758, 337), (1160, 333), (1158, 725), (767, 730)], Уверенность: 0.00
